1,69.571,70
2,34.826,35
3,23.261,23
4,17.49,18
5,14.035,15
6,11.736,13
7,10.098,11
8,8.8703,10
9,7.9159,10
10,7.1516,9
11,6.5248,9
12,6.0003,9
13,5.554,9
14,5.1685,9
15,4.8314,9
16,4.5332,9
17,4.2669,9
18,4.0269,10
19,3.8091,10
20,3.6101,10
21,3.4272,10
22,3.2584,11
23,3.1019,11
24,2.9563,12
25,2.8206,12
26,2.6939,12
27,2.5755,13
28,2.4649,13
29,2.3618,14
30,2.2658,14
31,2.1771,14
32,2.0956,15
33,2.0216,15
34,1.9556,16
35,1.8982,16
36,1.8503,17
37,1.8132,17
38,1.7884,18
39,1.7779,19
40,1.7841,20
41,1.8103,21
42,1.8601,22
43,1.9388,23
44,2.0527,25
45,2.2107,27
46,2.4256,30
47,2.7163,34
48,3.1135,39
49,3.6695,46
50,4.4821,57
51,5.7574,74
52,6.6345,96
53,5.145,77
54,4.204,66
